Image,Ground Truth Label
fr_img_01,unſerm Wege durch das Leben ſo oft be
fr_img_02,"faſt woͤrtlich ſo lautet, wie das indiſche in der"
fr_img_03,"Centauren, ihre pelasgiſchen Kabiren verrathen uns"
fr_img_04,"Dinge, welche eine neue Kunſt, eine neue Poe"
fr_img_05,"Tyrannei in die Luft ſprengt, daß es eine Nacht"
fr_img_06,"nur die Kunſt nachbleibt, ſo taucht eine Moral"
fr_img_07,"das Leben, das Leben iſt es, das die Kunſt ver"
fr_img_08,Schoͤnheit darzuſtellen; ihr gehoͤrt das Bewegte
fr_img_09,"ob die Poeſie in ihrer Aeußerung bei dieſem, je"
fr_img_10,"lich behaglich leben laͤßt, ein Freund des Manier"
